filename,chroma_cqt,chroma_cens,spec_contrast,spectral_flatness,tonnetz,cluster,label
GUAM5070__0__20160308_061000.wav,0.6595453023910522,0.280737236308403,18.52594180730575,0.000660222431179136,0.004616788428308899,Cluster3,media
GUAM5070__0__20160308_025000.wav,0.5212111473083496,0.26537747553191865,21.666485995651183,0.0018734553596004844,0.015918738863303396,Cluster3,media
ESPAN5067__0__20160316_061000.wav,0.6859152317047119,0.28290646330452546,18.036024872701518,0.0007592246402055025,0.005866733518637693,Cluster3,media
GUAM5070__0__20160215_083000.wav,0.6641184687614441,0.2805888973006105,18.863028276186476,0.0017815835308283567,0.00961985370230893,Cluster3,media
ESPAN5067__0__20160317_233000.wav,0.5448150038719177,0.2687375438183276,21.50987163598942,0.0027049200143665075,0.0033344280357504624,Cluster3,media
GUAM5070__0__20160307_203000.wav,0.4807911217212677,0.2521243790806093,22.90601819542412,0.0021856683306396008,-0.003319904251922347,Cluster3,media
GUAM5070__0__20160214_071000.wav,0.6619223356246948,0.2818936381618189,18.255289106327332,0.002041551051661372,0.003480398140710344,Cluster3,media
ESPAN5067__0__20160318_175000.wav,0.6458910703659058,0.2778676691653734,18.17008679022714,0.0030415053479373455,0.007334669985158066,Cluster3,media
GUAM5070__0__20160307_160000.wav,0.6953244209289551,0.2820623751223768,16.82020005972567,0.00758321164175868,0.005743409665443535,Cluster3,media
ESPAN5067__0__20160318_225000.wav,0.48467206954956055,0.2577655849366368,21.94561338645222,0.0031267600134015083,-0.008707894713060266,Cluster3,media
ESPAN5067__0__20160315_095000.wav,0.6697694659233093,0.2812489176177258,18.88934008748628,0.013553597033023834,0.0030021695641298356,Cluster3,media
GUAM5070__0__20160307_182000.wav,0.5190768241882324,0.26481693932629247,22.469306830377977,0.002675433177500963,0.015946906230344553,Cluster3,media
ESPAN5067__0__20160315_051000.wav,0.6936864852905273,0.28276379787329814,18.356729038616574,0.0007385190110653639,0.006935115580466644,Cluster3,media
GUAM5070__0__20160307_043000.wav,0.6225752234458923,0.27895874498760437,21.197933682797302,0.0023581425193697214,0.0004937263935313929,Cluster3,media
GUAM5070__0__20160214_184000.wav,0.6340136528015137,0.28088613720643196,21.849978376067067,0.002676724223420024,-0.00024453058667398784,Cluster3,media
ESPAN5067__0__20160224_194000.wav,0.6017556190490723,0.2718066935311269,17.168494990719825,0.01314870361238718,0.0096703135452498,Cluster3,media
GUAM5070__0__20160307_002000.wav,0.5136869549751282,0.2628896350290694,22.257548201073128,0.0030030529014766216,0.011389169998283136,Cluster3,media
GUAM5070__0__20160215_074000.wav,0.6761741042137146,0.2822279334373761,17.75627990938144,0.0005230357637628913,0.004536318629839221,Cluster3,media
GUAM5070__0__20160217_162000.wav,0.683822751045227,0.2824617013950864,17.348260927911035,0.0006407605833373964,0.007696419523776714,Cluster3,media
LOROSM5069__0__20160225_132000.wav,0.6284423470497131,0.2750383132349852,18.071620577728943,0.0007039858610369265,0.009934103247899412,Cluster4,media
LOROSM5069__0__20160225_173018.wav,0.6749602556228638,0.28052111397755,18.25082190881717,0.0001335457927780226,0.005970603518843813,Cluster4,media
ESPAN5067__0__20160307_222000.wav,0.5392253398895264,0.2660880810311576,21.700786728861807,0.001906047691591084,0.01600657190131349,Cluster4,media
ESPAN5067__0__20160315_132000.wav,0.6846248507499695,0.2820517642585994,17.878493768095705,0.0008764645317569375,0.005600766738134713,Cluster4,media
ESPAN5067__0__20160306_084000.wav,0.6767400503158569,0.28145516333902726,18.091152673442522,0.0007220939151011407,0.0056686130464906346,Cluster4,media
ESPAN5067__0__20160214_162000.wav,0.6692007780075073,0.28038486905111903,16.87126204818659,0.0026953050401061773,0.006144799252773911,Cluster4,media
ESPAN5067__0__20160308_064000.wav,0.6625269055366516,0.28194135490232375,18.00337661312185,0.0008492351626046002,0.003424506284154505,Cluster4,media
ESPAN5067__0__20160217_023000.wav,0.6257954239845276,0.27930126543787887,21.02693569704848,0.00223393808118999,-0.0028608606281041956,Cluster4,media
ESPAN5067__0__20160315_085000.wav,0.6416434049606323,0.27594004625149754,18.914085297893454,0.008306055329740047,-0.0027802451047755847,Cluster4,media
ESPAN5067__0__20160308_145000.wav,0.6659840941429138,0.2790886251477592,16.42685298846597,0.015354507602751255,0.0059848856913461606,Cluster4,media
ESPAN5067__0__20160308_133000.wav,0.6615571975708008,0.28042054984255305,17.280648554338246,0.0009567776578478515,0.0063518783765213575,Cluster4,media
ESPAN5067__0__20160306_063000.wav,0.6343290209770203,0.28067612206570614,19.406190794569245,0.0013449664693325758,0.00032408311226676714,Cluster4,media
ESPAN5067__0__20160308_033000.wav,0.5806066393852234,0.2730107089044047,20.91887463440865,0.0015687983250245452,0.012833519175912956,Cluster4,media
ESPAN5067__0__20160227_111000.wav,0.6797192692756653,0.2820720194267761,16.823254819211876,0.0009636339964345098,0.0046811097265710986,Cluster4,media
LOROSM5069__0__20160225_212000.wav,0.6758514046669006,0.28169404464900194,21.148386037762183,0.00022018278832547367,0.00039272889847061167,Cluster4,media
ESPAN5067__0__20160315_034000.wav,0.581818163394928,0.27396062157075074,21.6261655729141,0.001539986697025597,0.0007545713256511692,Cluster4,media
ESPAN5067__0__20160315_023000.wav,0.5934343338012695,0.27450105971235833,21.707098982971058,0.0016511561116203666,0.007708555710544841,Cluster4,media
ESPAN5067__0__20160315_025000.wav,0.5508821606636047,0.26826658404211096,22.079756539410628,0.0016766240587458014,0.011626240528912533,Cluster4,media
ESPAN5067__0__20160308_124000.wav,0.6686918139457703,0.28037818217644983,17.318302624910718,0.0006240634247660637,0.0057046475751061166,Cluster4,media
ESPAN5067__0__20160225_072000.wav,0.6660895943641663,0.2807076782546948,17.100320734283784,0.003031916217878461,0.004865343788336574,Cluster4,media
